"Parameter"|"Parameter.Name"
43159|"Aldrin"
65331|"Alkalinity_(precip)"
11301|"Alpha_radiation_(TSP)"
17835|"Alpha-terpinene_(TSP)_STP"
43256|"alpha.-Pinene"
65342|"Aluminum_(precip)"
14101|"Aluminum_(TSP)_LC"
12101|"Aluminum_(TSP)_STP"
85104|"Aluminum_PM10_LC"
82101|"Aluminum_PM10_STP"
86104|"Aluminum_PM10-2.5_LC"
83101|"Aluminum_PM10-2.5_STP"
88104|"Aluminum_PM2.5_LC"
84101|"Aluminum_PM2.5_STP"
68104|"Ambient_Max_Temperature"
68103|"Ambient_Min_Temperature"
42604|"Ammonia"
62604|"Ammonia_(precip)"
22604|"Ammonia_(SP)"
81301|"AMMONIUM_(PM10)_use_82301"
65318|"Ammonium_(precip)"
22301|"Ammonium_(SP)"
12301|"Ammonium_(TSP)_STP"
85301|"Ammonium_Ion_PM10_LC"
86301|"Ammonium_Ion_PM10-2.5_LC"
88301|"Ammonium_Ion_PM2.5_LC"
88345|"Ammonium_Nitrate_Extinction_PM2.5_LC"
88344|"Ammonium_Nitrate_PM2.5_LC"
82301|"Ammonium_PM10_STP"
88340|"Ammonium_Sulfate_Extinction_PM2.5_LC"
88339|"Ammonium_Sulfate_PM2.5_LC"
16763|"Aniline__(TSP)_STP"
17210|"Anthanthrene_(TSP)_STP"
17151|"Anthracene_(TSP)_STP"
65344|"Antimony_(precip)"
22102|"Antimony_(SP)"
14102|"Antimony_(TSP)_LC"
12102|"Antimony_(TSP)_STP"
11343|"Antimony_-_121_(TSP)"
85102|"Antimony_PM10_LC"
82102|"Antimony_PM10_STP"
86102|"Antimony_PM10-2.5_LC"
83102|"Antimony_PM10-2.5_STP"
88102|"Antimony_PM2.5_LC"
84102|"Antimony_PM2.5_STP"
16118|"Aroclor_1060"
16120|"Aroclor_1232"
16121|"Aroclor_1242"
16122|"Aroclor_1248"
16123|"Aroclor_1254"
16124|"Aroclor_1260"
16119|"Aroclor1221"
65339|"Arsenic_(precip)"
22103|"Arsenic_(SP)"
14103|"Arsenic_(TSP)_LC"
12103|"Arsenic_(TSP)_STP"
11344|"Arsenic_-_75_(TSP)"
85103|"Arsenic_PM10_LC"
82103|"Arsenic_PM10_STP"
86103|"Arsenic_PM10-2.5_LC"
83103|"Arsenic_PM10-2.5_STP"
88103|"Arsenic_PM2.5_LC"
84103|"Arsenic_PM2.5_STP"
11124|"Asbestos_>_0.5um"
11123|"Asbestos_>_5um"
12803|"Asbestos_amphibole_(TSP)"
61120|"Atmospheric_Stability"
43155|"Atrazine"
68108|"Average_Ambient_Pressure"
68118|"Average_Ambient_Pressure_for_URG3000N"
68105|"Average_Ambient_Temperature"
68117|"Average_Ambient_Temperature_for_URG3000N"
16764|"Azobenzene__(TSP)_STP"
65107|"Barium_(precip)"
14107|"Barium_(TSP)_LC"
12107|"Barium_(TSP)_STP"
85107|"Barium_PM10_LC"
82107|"Barium_PM10_STP"
86107|"Barium_PM10-2.5_LC"
83107|"Barium_PM10-2.5_STP"
88107|"Barium_PM2.5_LC"
84107|"Barium_PM2.5_STP"
64101|"Barometric_pressure"
45501|"Benzaldehyde"
17502|"Benzanthrone_(TSP)_STP"
45201|"Benzene"
45115|"Benzene_&_1,2-dichloroethane"
21103|"Benzene_Sol_Org_(SP)"
11103|"Benzene_soluble_organics_(TSP)"
45815|"Benzene,_1,2,3-trichloro-"
45228|"Benzene,_1-ethenyl-4-methyl"
45221|"Benzene,(1-methylethenyl)-"
16765|"Benzidine__(TSP)_STP"
82242|"Benzo(a)Pyrene_PM10_STP"
82220|"Benzo(b)Fluranthene_PM10_STP"
82237|"Benzo(g,h,i)Perylene_PM10_STP"
82223|"Benzo(k)Fluoranthene_PM10_STP"
17215|"Benzo[a]anthracene_(TSP)_STP"
17242|"Benzo[a]pyrene_(TSP)_STP"
17241|"Benzo[a]pyrene-D12_(TSP)_STP"
17225|"Benzo[b,k]fluoranthene_(TSP)_STP"
17220|"Benzo[b]fluoranthene_(TSP)_STP"
17224|"Benzo[e]pyrene_(TSP)_STP"
17237|"Benzo[g,h,i]perylene_(TSP)_STP"
17223|"Benzo[k]fluoranthene_(TSP)_STP"
16766|"Benzyl_alcohol__(TSP)_STP"
45809|"Benzyl_chloride"
65105|"Beryllium_(precip)"
14105|"Beryllium_(TSP)_LC"
12105|"Beryllium_(TSP)_STP"
85105|"Beryllium_PM10_LC"
82105|"Beryllium_PM10_STP"
88105|"Beryllium_PM2.5_LC"
11302|"Beta_radiation_(TSP)"
43257|"beta.-Pinene"
43189|"beta.Pinene_&_1,2,3-_trimethylbenzene"
45301|"Biphenyl"
43135|"Birdin"
16767|"bis_(2-chloroethyl)ether__(TSP)_STP"
16768|"bis(2-chloroethoxy)methane__(TSP)_STP"
16769|"bis(2-chloroisopropyl)ether__(TSP)_STP"
16770|"bis(2-ethylhexyl)phthalate__(TSP)_STP"
88129|"Bismuth"
14130|"Bismuth_(TSP)_LC"
12106|"Bismuth_(TSP)_STP"
85130|"Bismuth_PM10_LC"
88317|"Black_Carbon__PM2.5_Corrected"
85313|"Black_Carbon_PM10_LC"
88313|"Black_Carbon_PM2.5_at_880_nm"
84313|"Black_carbon_PM2.5_STP"
65190|"Boron_(precip)"
12190|"Boron_(TSP)_STP"
82190|"Boron_PM10_STP"
12201|"Bromide_(TSP)_STP"
82109|"Bromide_PM10_STP"
14109|"Bromine_(TSP)_LC"
12109|"Bromine_(TSP)_STP"
85109|"Bromine_PM10_LC"
86109|"Bromine_PM10-2.5_LC"
83109|"Bromine_PM10-2.5_STP"
88109|"Bromine_PM2.5_LC"
84109|"Bromine_PM2.5_STP"
43836|"Bromochloromethane"
43828|"Bromodichloromethane"
45808|"Bromofluorobenzene"
43806|"Bromoform"
43819|"Bromomethane"
43339|"Butryl-aldehyde_&_Methyl_Ethyl_Ketone"
43514|"Butyl_acetate"
45233|"Butyl_benzene"
